"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\dianuo\src\component\NavBar\index.scss", "SCSS", 0, 28, 2, 6, 36
"e:\dianuo\src\component\PageMidNav\index.js", "JavaScript", 6, 0, 0, -2, 4
"e:\dianuo\src\pages\Home\FirmIntro\index.scss", "SCSS", 0, 26, 0, 7, 33
"e:\dianuo\src\pages\Home\SlideShow\index.scss", "SCSS", 0, 12, 1, 1, 14
"e:\dianuo\src\pages\News\firmnews\index.js", "JavaScript", 74, 0, 1, 11, 86
"e:\dianuo\src\pages\News\firmnews\index.scss", "SCSS", 0, 123, 9, 23, 155
"e:\dianuo\src\pages\News\industrynews\index.js", "JavaScript", 74, 0, 1, 11, 86
"e:\dianuo\src\pages\News\industrynews\index.scss", "SCSS", 0, 123, 9, 23, 155
"e:\dianuo\src\pages\News\medianews\index.js", "JavaScript", 74, 0, 1, 11, 86
"e:\dianuo\src\pages\News\medianews\index.scss", "SCSS", 0, 123, 9, 23, 155
"e:\dianuo\src\pages\News\newsList\index.js", "JavaScript", 81, 0, 1, 13, 95
"e:\dianuo\src\pages\News\newsList\index.scss", "SCSS", 0, 123, 9, 23, 155
"e:\dianuo\src\pages\News\newsdetail\index.js", "JavaScript", 97, 0, 0, 18, 115
"e:\dianuo\src\pages\News\newsdetail\index.scss", "SCSS", 0, 93, 4, 22, 119
"e:\dianuo\src\pages\Service\video\index.js", "JavaScript", -1, 0, -35, -8, -44
"e:\dianuo\src\router\index.js", "JavaScript", 9, 0, 0, 0, 9
"e:\dianuo\src\store\index.js", "JavaScript", 8, 0, 0, 0, 8
"e:\dianuo\src\store\modules\latestNewsStore.js", "JavaScript", 16, 0, 0, 3, 19
"e:\dianuo\src\store\modules\newsDetailStore.js", "JavaScript", 28, 0, 1, 6, 35
"e:\dianuo\src\store\modules\newsListStore.js", "JavaScript", 34, 0, 6, 6, 46
"e:\dianuo\src\store\modules\newsTypeStore.js", "JavaScript", 35, 0, 5, 6, 46
"Total", "-", 535, 651, 24, 203, 1413